"lambda","design","ME","two_FI","perfect_prob","perfect_me","perfect_2FI"
0.0550232200564072,"MEPI",2,1,0.0072,0.409066666666666,0.0088
0.060810062625218,"MEPI",2,1,0.00746666666666667,0.490933333333333,0.00826666666666667
0.0672055127397498,"MEPI",2,1,0.0064,0.5624,0.0064
0.0742735782143339,"MEPI",2,1,0.0056,0.630133333333333,0.0056
0.0820849986238988,"MEPI",2,1,0.00506666666666667,0.686933333333333,0.00506666666666667
0.0907179532894125,"MEPI",2,1,0.0056,0.731466666666667,0.0056
0.100258843722804,"MEPI",2,1,0.00426666666666667,0.7584,0.00426666666666667
0.110803158362334,"MEPI",2,1,0.00426666666666667,0.774933333333333,0.00426666666666667
0.122456428252982,"MEPI",2,1,0.00266666666666667,0.784533333333333,0.00293333333333333
0.135335283236613,"MEPI",2,1,0.00213333333333333,0.785066666666667,0.0024
0.149568619222635,"MEPI",2,1,0.00106666666666667,0.773866666666667,0.0016
0.165298888221587,"MEPI",2,1,0.000266666666666667,0.753866666666666,8e-04
0.182683524052735,"MEPI",2,1,0.000266666666666667,0.732,0.00106666666666667
0.201896517994655,"MEPI",2,1,0,0.709866666666666,8e-04
0.22313016014843,"MEPI",2,1,0.000266666666666667,0.683733333333333,8e-04
0.246596963941606,"MEPI",2,1,0.000266666666666667,0.657333333333333,8e-04
0.272531793034013,"MEPI",2,1,0.000533333333333333,0.621066666666666,0.00106666666666667
0.301194211912202,"MEPI",2,1,0.000266666666666667,0.589333333333333,0.000533333333333333
0.33287108369808,"MEPI",2,1,0.000266666666666667,0.5528,0.000533333333333333
0.367879441171442,"MEPI",2,1,0,0.519466666666667,0
0.406569659740599,"MEPI",2,1,0,0.488533333333333,0
0.449328964117222,"MEPI",2,1,0,0.4576,0
0.49658530379141,"MEPI",2,1,0,0.428266666666667,0
0.548811636094027,"MEPI",2,1,0,0.3952,0
0.606530659712633,"MEPI",2,1,0,0.363733333333333,0
0.67032004603564,"MEPI",2,1,0,0.3328,0
0.740818220681718,"MEPI",2,1,0,0.310666666666667,0
0.818730753077982,"MEPI",2,1,0,0.2832,0
0.90483741803596,"MEPI",2,1,0,0.2576,0
1,"MEPI",2,1,0,0.236,0
1.10517091807565,"MEPI",2,1,0,0.218666666666667,0
1.22140275816017,"MEPI",2,1,0,0.196266666666667,0
1.349858807576,"MEPI",2,1,0,0.185066666666667,0
1.49182469764127,"MEPI",2,1,0,0.174933333333333,0
1.64872127070013,"MEPI",2,1,0,0.1624,0
1.82211880039051,"MEPI",2,1,0,0.149333333333333,0
2.01375270747048,"MEPI",2,1,0,0.139466666666666,0
2.22554092849247,"MEPI",2,1,0,0.130133333333333,0
2.45960311115695,"MEPI",2,1,0,0.122133333333333,0
2.71828182845905,"MEPI",2,1,0,0.114933333333333,0
3.00416602394643,"MEPI",2,1,0,0.1056,0
3.32011692273655,"MEPI",2,1,0,0.0999999999999998,0
3.66929666761925,"MEPI",2,1,0,0.0946666666666665,0
4.05519996684468,"MEPI",2,1,0,0.0887999999999999,0
4.48168907033806,"MEPI",2,1,0,0.0855999999999999,0
0.0111089965382423,"OA18",2,1,0,0,0
0.0122773399030684,"OA18",2,1,0,0,0
0.0135685590122009,"OA18",2,1,0,0,0
0.0149955768204777,"OA18",2,1,0,0,0
0.0165726754017613,"OA18",2,1,0,0,0
0.0183156388887342,"OA18",2,1,0,0,8e-04
0.0202419114458044,"OA18",2,1,0,0.000266666666666667,0.00746666666666667
0.0223707718561656,"OA18",2,1,0.000266666666666667,0.00293333333333333,0.0184
0.0247235264703394,"OA18",2,1,0.0032,0.0224,0.0325333333333333
0.0273237224472926,"OA18",2,1,0.0133333333333333,0.0903999999999999,0.0496
0.0301973834223185,"OA18",2,1,0.0285333333333333,0.225866666666667,0.0613333333333333
0.0333732699603261,"OA18",2,1,0.0442666666666667,0.3824,0.0725333333333333
0.03688316740124,"OA18",2,1,0.0597333333333333,0.541066666666667,0.0805333333333333
